"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","weibull_power_citable","weibull_power_status","weibull_calibration_source","weibull_empirical_alpha_nominal_05","weibull_z_critical_emp_05","weibull_z_critical_holm","weibull_p_calibrated_observed","weibull_calibration_fit_ok_rate","weibull_power_note"
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,1,-5.7936391883341,2000,1,0.1,0.7635,0.4595,0.7635,0.4595,0.7635,0.4595,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,2,-11.5872783766682,2000,1,0.05,0.9835,0.8845,0.9835,0.8845,0.9835,0.8845,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M2","Weibull AFT","trade_c","eng_c:trade_c",-5.7936391883341,2,-11.5872783766682,2000,1,0.1,0.9915,0.9365,0.9915,0.9365,0.9915,0.9365,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.0840840840840841,2.13719089750923,3.0854365976357,0.022022022022022,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,0,0,2000,0.9995,0.05,0.1095,0.032,0.109554777388694,0.032016008004002,0.1095,0.032,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,0,0,2000,0.9995,0.1,0.178,0.0475,0.178089044522261,0.0475237618809405,0.178,0.0475,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,0.25,0.171812913030231,2000,1,0.05,0.135,0.03,0.135,0.03,0.135,0.03,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,0.25,0.171812913030231,2000,1,0.1,0.205,0.0485,0.205,0.0485,0.205,0.0485,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,0.5,0.343625826060463,2000,1,0.05,0.1235,0.0325,0.1235,0.0325,0.1235,0.0325,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,0.5,0.343625826060463,2000,1,0.1,0.1925,0.0465,0.1925,0.0465,0.1925,0.0465,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,1,0.687251652120926,2000,0.9995,0.05,0.121,0.039,0.121060530265133,0.0390195097548774,0.121,0.039,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,1,0.687251652120926,2000,0.9995,0.1,0.1945,0.054,0.194597298649325,0.0540270135067534,0.1945,0.054,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,2,1.37450330424185,2000,1,0.05,0.14,0.038,0.14,0.038,0.14,0.038,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M3","Weibull AFT","lnaid_c","eng_c:lnaid_c",0.687251652120926,2,1.37450330424185,2000,1,0.1,0.2135,0.062,0.2135,0.062,0.2135,0.062,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.115115115115115,2.44522613001986,3.48977168305625,0.895895895895896,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0,0,2000,1,0.05,0.1305,0.0325,0.1305,0.0325,0.1305,0.0325,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0,0,2000,1,0.1,0.1995,0.0485,0.1995,0.0485,0.1995,0.0485,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0.25,-0.194698886409699,2000,0.9995,0.05,0.121,0.0315,0.121060530265133,0.0315157578789395,0.121,0.0315,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0.25,-0.194698886409699,2000,0.9995,0.1,0.2005,0.0445,0.200600300150075,0.0445222611305653,0.2005,0.0445,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0.5,-0.389397772819399,2000,1,0.05,0.126,0.0345,0.126,0.0345,0.126,0.0345,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0.5,-0.389397772819399,2000,1,0.1,0.211,0.0545,0.211,0.0545,0.211,0.0545,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M4","Weibull AFT","iodonor_c","eng_c:iodonor_c",-0.778795545638797,1,-0.778795545638797,2000,1,0.05,0.2025,0.06,0.2025,0.06,0.2025,0.06,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.114114114114114,2.51739351565512,4.18889332312209,0.537537537537538,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
