"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr"
"M1","CSO Repression",0.114599156118144,"90th",2.2074,1.84839176550957,1.22841929122333,2.65744443975085
"M1","CSO Repression",0.11732770745429,"90th",2.2074,1.82568292241819,1.21013709259236,2.63012404924056
"M1","CSO Repression",0.120056258790436,"90th",2.2074,1.80349667477758,1.18510749034091,2.6039317225907
"M1","CSO Repression",0.122784810126583,"90th",2.2074,1.78182062071254,1.159761839347,2.57484158878731
"M1","CSO Repression",0.125513361462729,"90th",2.2074,1.76064271287318,1.13910309096965,2.55154176378723
"M1","CSO Repression",0.128241912798875,"90th",2.2074,1.73995124777338,1.11662921853147,2.535619903823
"M1","CSO Repression",0.130970464135021,"90th",2.2074,1.71973485548064,1.10116659306316,2.51759471169197
"M1","CSO Repression",0.133699015471168,"90th",2.2074,1.69998248964508,1.08579215219251,2.50479733692229
"M1","CSO Repression",0.136427566807314,"90th",2.2074,1.68068341785601,1.07032370452516,2.48873116089274
"M1","CSO Repression",0.13915611814346,"90th",2.2074,1.66182721231489,1.04968863517578,2.47994382489484
"M1","CSO Repression",0.141884669479606,"90th",2.2074,1.64340374081366,1.01747573884677,2.49403215865592
"M1","CSO Repression",0.144613220815753,"90th",2.2074,1.62540315800825,0.992643134699937,2.49371796456103
"M1","CSO Repression",0.147341772151899,"90th",2.2074,1.60781589697705,0.964358982375895,2.50110555696115
"M1","CSO Repression",0.150070323488045,"90th",2.2074,1.59063266105466,0.935141454774649,2.50786057122262
"M1","CSO Repression",0.152798874824192,"90th",2.2074,1.5738444159317,0.914310293599117,2.52503290973467
"M1","CSO Repression",0.155527426160338,"90th",2.2074,1.55744238201147,0.883690637659307,2.53668145670897
"M1","CSO Repression",0.158255977496484,"90th",2.2074,1.54141802701498,0.858761518325674,2.56989580681942
"M1","CSO Repression",0.16098452883263,"90th",2.2074,1.52576305882579,0.831827028155803,2.59918324811149
"M1","CSO Repression",0.163713080168777,"90th",2.2074,1.5104694185668,0.804435835111071,2.61669073510223
"M1","CSO Repression",0.166441631504923,"90th",2.2074,1.49552927390096,0.77802894940129,2.61002657710025
"M1","CSO Repression",0.169170182841069,"90th",2.2074,1.4809350125486,0.758685139076922,2.61566583250767
"M1","CSO Repression",0.171898734177216,"90th",2.2074,1.46667923601404,0.73543855856252,2.62895718737794
"M1","CSO Repression",0.174627285513362,"90th",2.2074,1.4527547535145,0.712904355783794,2.63806441486292
"M1","CSO Repression",0.177355836849508,"90th",2.2074,1.43915457610468,0.691073080368267,2.65463032983389
"M1","CSO Repression",0.180084388185654,"90th",2.2074,1.42587191099033,0.667571534773347,2.671073228548
"M1","CSO Repression",0.182812939521801,"90th",2.2074,1.41290015602479,0.645252331591432,2.68784375471769
"M1","CSO Repression",0.185541490857947,"90th",2.2074,1.40023289438222,0.622609126711136,2.70495494590181
"M1","CSO Repression",0.188270042194093,"90th",2.2074,1.3878638894019,0.60178544172019,2.72194096715262
"M1","CSO Repression",0.190998593530239,"90th",2.2074,1.37578707959785,0.585209847368765,2.74210061238709
"M1","CSO Repression",0.193727144866386,"90th",2.2074,1.36399657382843,0.565382436756986,2.76371410854395
"M1","CSO Repression",0.196455696202532,"90th",2.2074,1.35248664662061,0.544668952966323,2.77354180185635
"M1","CSO Repression",0.199184247538678,"90th",2.2074,1.34125173364402,0.524714700722191,2.79095858486253
"M1","CSO Repression",0.201912798874825,"90th",2.2074,1.33028642732967,0.505515434658201,2.82091855336767
"M1","CSO Repression",0.204641350210971,"90th",2.2074,1.31958547262898,0.488040803968139,2.85183859459955
"M1","CSO Repression",0.207369901547117,"90th",2.2074,1.30914376290823,0.472013238987459,2.87208962782278
"M1","CSO Repression",0.210098452883263,"90th",2.2074,1.29895633597436,0.456576448290746,2.88803775855896
"M1","CSO Repression",0.21282700421941,"90th",2.2074,1.28901837022774,0.443466894091867,2.90861003561243
"M1","CSO Repression",0.215555555555556,"90th",2.2074,1.2793251809379,0.429719041925096,2.92983441771157
"M5","CSO Repression",0,"10th",-1.4923,0.858313597212869,0.250293258524903,0.99827164260337
"M5","CSO Repression",0.00272855133614628,"10th",-1.4923,0.851844860940781,0.254649800542596,0.997859400932288
"M5","CSO Repression",0.00545710267229256,"10th",-1.4923,0.844933921240851,0.25905644949635,0.997349090469254
"M5","CSO Repression",0.00818565400843884,"10th",-1.4923,0.83754929584442,0.254993716070475,0.996717519922819
"M5","CSO Repression",0.0109142053445851,"10th",-1.4923,0.8296577573932,0.254356736841398,0.995933952981804
"M5","CSO Repression",0.0136427566807314,"10th",-1.4923,0.821224388170413,0.25305861379023,0.994900763981457
"M5","CSO Repression",0.0163713080168777,"10th",-1.4923,0.812212683097502,0.250773760257937,0.993766281946293
"M5","CSO Repression",0.0190998593530239,"10th",-1.4923,0.802584713368953,0.248503300669235,0.992293613741773
"M5","CSO Repression",0.0218284106891702,"10th",-1.4923,0.792301365287624,0.246106508922468,0.990474388943473
"M5","CSO Repression",0.0245569620253165,"10th",-1.4923,0.781322671217233,0.243804205603374,0.988224197654246
"M5","CSO Repression",0.0272855133614628,"10th",-1.4923,0.769608252006379,0.241399017016402,0.986125278103949
"M5","CSO Repression",0.0300140646976091,"10th",-1.4923,0.757117892622869,0.239011276622948,0.983542231711486
"M5","CSO Repression",0.0327426160337553,"10th",-1.4923,0.743812274847438,0.233502210223999,0.979561910945426
"M5","CSO Repression",0.0354711673699016,"10th",-1.4923,0.729653892365325,0.217674666885276,0.974643656611494
"M5","CSO Repression",0.0381997187060479,"10th",-1.4923,0.714608173931465,0.20917220948019,0.969749742221047
"M5","CSO Repression",0.0409282700421942,"10th",-1.4923,0.698644838683007,0.207677443228567,0.963704523759887
"M5","CSO Repression",0.0436568213783405,"10th",-1.4923,0.68173950301417,0.207499642136068,0.956969171603351
"M5","CSO Repression",0.0463853727144867,"10th",-1.4923,0.663875549214441,0.210500928446275,0.949806006694776
"M5","CSO Repression",0.049113924050633,"10th",-1.4923,0.645046250429163,0.205809065001963,0.941399712527884
"M5","CSO Repression",0.0518424753867793,"10th",-1.4923,0.625257122300664,0.202074568658404,0.928840193006618
"M5","CSO Repression",0.0545710267229256,"10th",-1.4923,0.604528436790107,0.200629527570475,0.910471681742381
"M5","CSO Repression",0.0572995780590718,"10th",-1.4923,0.582897786684752,0.195804224148032,0.894066251215819
"M5","CSO Repression",0.0600281293952181,"10th",-1.4923,0.560422530362479,0.191598318356513,0.875084237679379
"M5","CSO Repression",0.0627566807313644,"10th",-1.4923,0.537181879125904,0.186624160808231,0.853302020451271
"M5","CSO Repression",0.0654852320675107,"10th",-1.4923,0.513278323129349,0.181612510969366,0.825032413351205
"M5","CSO Repression",0.068213783403657,"10th",-1.4923,0.488838043499881,0.179061819806796,0.800256669975289
"M5","CSO Repression",0.0709423347398032,"10th",-1.4923,0.464009951873718,0.174550223049835,0.769459991134098
"M5","CSO Repression",0.0736708860759495,"10th",-1.4923,0.438963061106357,0.166730531870315,0.734310168829763
"M5","CSO Repression",0.0763994374120958,"10th",-1.4923,0.413882042434059,0.160659139022279,0.704974535508006
"M5","CSO Repression",0.0791279887482421,"10th",-1.4923,0.388961065146142,0.150151804174004,0.676034872337327
"M5","CSO Repression",0.0818565400843883,"10th",-1.4923,0.364396312486699,0.138783084608094,0.644832532038217
"M5","CSO Repression",0.0845850914205346,"10th",-1.4923,0.34037785141437,0.131155298066287,0.614750241392233
