"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr","panel"
"M2","Trade Freedom",0.0409282700421942,"90th",8.37468197127209,7.84225857703489,3.34416919187841,15.5766263672551,"Weibull AFT"
"M2","Trade Freedom",0.0436568213783405,"90th",8.37468197127209,7.63506305935689,3.34029732369251,14.9312619442693,"Weibull AFT"
"M2","Trade Freedom",0.0463853727144867,"90th",8.37468197127209,7.43478869003318,3.33656259372632,14.3100855878019,"Weibull AFT"
"M2","Trade Freedom",0.049113924050633,"90th",8.37468197127209,7.2411793646429,3.36671321967706,13.6929968213218,"Weibull AFT"
"M2","Trade Freedom",0.0518424753867793,"90th",8.37468197127209,7.05398928703838,3.37774625239379,13.0579918825167,"Weibull AFT"
"M2","Trade Freedom",0.0545710267229256,"90th",8.37468197127209,6.87298252951415,3.41313280723855,12.4830975322902,"Weibull AFT"
"M2","Trade Freedom",0.0572995780590718,"90th",8.37468197127209,6.69793261263822,3.39702018923145,11.9500132626467,"Weibull AFT"
"M2","Trade Freedom",0.0600281293952181,"90th",8.37468197127209,6.52862210383452,3.36906117013923,11.4396940955565,"Weibull AFT"
"M2","Trade Freedom",0.0627566807313644,"90th",8.37468197127209,6.364842233849,3.34167321785342,10.9511678579292,"Weibull AFT"
"M2","Trade Freedom",0.0654852320675107,"90th",8.37468197127209,6.20639253027296,3.32755629948955,10.4835038928962,"Weibull AFT"
"M2","Trade Freedom",0.068213783403657,"90th",8.37468197127209,6.05308046733683,3.3126053498003,10.0367947044395,"Weibull AFT"
"M2","Trade Freedom",0.0709423347398032,"90th",8.37468197127209,5.90472113122482,3.29052253067422,9.60817255942484,"Weibull AFT"
"M2","Trade Freedom",0.0736708860759495,"90th",8.37468197127209,5.76113690019654,3.25773043487361,9.19735437185158,"Weibull AFT"
"M2","Trade Freedom",0.0763994374120958,"90th",8.37468197127209,5.62215713883545,3.22698134789411,8.80521160623372,"Weibull AFT"
